normalized_time,LSL_timestamp,participant_id,trial_number,session,condition,angle_degrees,is_control_trial,trial_type,fixation id,duration [ms],head_heading_deg,gaze_heading_deg,head_heading_deg_raw,gaze_heading_deg_raw,sc_mid_to_head_signed_deviation,sc_mid_to_head_abs_deviation,sc_left_to_head_signed_deviation,sc_right_to_head_signed_deviation,sc_span_deg,sc_left_half_span_deg,sc_right_half_span_deg,sc_mid_to_gaze_signed_deviation,sc_mid_to_gaze_abs_deviation,sc_left_to_gaze_abs_deviation,sc_right_to_gaze_abs_deviation,bearing_screen_left,bearing_screen_center,bearing_screen_right,ws_mid_to_head_signed_deviation,ws_mid_to_head_deviation,ws_left_to_head_signed_deviation,ws_right_to_head_signed_deviation,ws_span_deg,ws_left_half_span_deg,ws_right_half_span_deg,ws_mid_to_gaze_signed_deviation,ws_mid_to_gaze_deviation,ws_left_to_gaze_deviation,ws_right_to_gaze_deviation,bearing_WS_left,bearing_WS_center,bearing_WS_right,chest_heading_deg_raw,chest_heading_deg,chair_heading_deg_raw,chair_heading_deg,left_foot_heading_deg_raw,left_foot_heading_deg,right_foot_heading_deg_raw,right_foot_heading_deg,coordination_angle_gaze_head_deg,coordination_angle_gaze_head_abs_deg,episode_index,episode_type,episode_state,gmm_boundary_deg,gmm_workspace_center_deg,gmm_target_center_deg
0.0,136519.28726,P13,8,1,Stand,45,0,experimental,0.0,,32.421308369863226,29.551335864172643,3.7203076648552,0.0864425341241315,-21.679185068434293,21.679185068434293,31.695557574882656,11.056798752520706,20.63875882236195,10.016372506448365,10.622386315913587,-24.54915757412488,24.54915757412488,34.56553008057324,13.92677125821129,64.11686594474588,54.10049343829752,43.47810712238393,33.7410844175196,33.7410844175196,7.342200547358317,60.96294720477269,53.62074665741437,26.398883870161285,27.221862787253087,30.87111191182902,30.87111191182902,4.472228041667734,58.092974699082106,25.07910782250491,-1.3197760476563758,-28.541638834909463,4.662120855180717,20.288562310634404,,,15.881254195219867,16.291788159117516,23.305931926095724,36.30427435297531,-2.869972505690584,2.869972505690584,1,inspection,start_inspection,-59.149293056069816,-122.4458184741737,4.14723236203407
0.008333,136519.29559,P13,8,1,Stand,45,0,experimental,0.0,,32.421308369863226,29.551335864172643,5.749333584990694,2.139564492801753,-21.679185068434293,21.679185068434293,31.695557574882656,11.056798752520706,20.63875882236195,10.016372506448365,10.622386315913587,-24.54915757412488,24.54915757412488,34.56553008057324,13.92677125821129,64.11686594474588,54.10049343829752,43.47810712238393,33.7410844175196,33.7410844175196,7.342200547358317,60.96294720477269,53.62074665741437,26.398883870161285,27.221862787253087,30.87111191182902,30.87111191182902,4.472228041667734,58.092974699082106,25.07910782250491,-1.3197760476563758,-28.541638834909463,5.379827711250613,20.288562310634404,,,15.812688598937484,16.291788159117516,23.29821441865573,36.30427435297531,-2.869972505690584,2.869972505690584,1,inspection,inspecting_screen,-59.149293056069816,-122.4458184741737,4.14723236203407
0.016665,136519.30392,P13,8,1,Stand,45,0,experimental,0.0,,32.421308369863226,29.551335864172643,7.747134145218951,4.211079261261403,-21.679185068434293,21.679185068434293,31.695557574882656,11.056798752520706,20.63875882236195,10.016372506448365,10.622386315913587,-24.54915757412488,24.54915757412488,34.56553008057324,13.92677125821129,64.11686594474588,54.10049343829752,43.47810712238393,33.7410844175196,33.7410844175196,7.342200547358317,60.96294720477269,53.62074665741437,26.398883870161285,27.221862787253087,30.87111191182902,30.87111191182902,4.472228041667734,58.092974699082106,25.07910782250491,-1.3197760476563758,-28.541638834909463,6.063056550570195,20.288562310634404,,,15.96989672838879,16.291788159117516,23.4281031700852,36.30427435297531,-2.869972505690584,2.869972505690584,1,inspection,inspecting_screen,-59.149293056069816,-122.4458184741737,4.14723236203407
0.024998,136519.31226,P13,8,1,Stand,45,0,experimental,0.0,,32.421308369863226,29.551335864172643,9.818422197541736,6.285787699179878,-21.679185068434293,21.679185068434293,31.695557574882656,11.056798752520706,20.63875882236195,10.016372506448365,10.622386315913587,-24.54915757412488,24.54915757412488,34.56553008057324,13.92677125821129,64.11686594474588,54.10049343829752,43.47810712238393,33.7410844175196,33.7410844175196,7.342200547358317,60.96294720477269,53.62074665741437,26.398883870161285,27.221862787253087,30.87111191182902,30.87111191182902,4.472228041667734,58.092974699082106,25.07910782250491,-1.3197760476563758,-28.541638834909463,6.897377493046662,20.288562310634404,,,16.068073648900963,16.291788159117516,23.478772358148603,36.30427435297531,-2.869972505690584,2.869972505690584,1,inspection,inspecting_screen,-59.149293056069816,-122.4458184741737,4.14723236203407
0.03333,136519.32059,P13,8,1,Stand,45,0,experimental,0.0,,32.421308369863226,29.551335864172643,11.89826762804404,8.382466155031352,-21.679185068434293,21.679185068434293,31.695557574882656,11.056798752520706,20.63875882236195,10.016372506448365,10.622386315913587,-24.54915757412488,24.54915757412488,34.56553008057324,13.92677125821129,64.11686594474588,54.10049343829752,43.47810712238393,33.7410844175196,33.7410844175196,7.342200547358317,60.96294720477269,53.62074665741437,26.398883870161285,27.221862787253087,30.87111191182902,30.87111191182902,4.472228041667734,58.092974699082106,25.07910782250491,-1.3197760476563758,-28.541638834909463,7.656912538975661,20.288562310634404,,,16.113853910112567,16.291788159117516,23.729163661572443,36.30427435297531,-2.869972505690584,2.869972505690584,1,inspection,inspecting_screen,-59.149293056069816,-122.4458184741737,4.14723236203407
0.041663,136519.32892,P13,8,1,Stand,45,0,experimental,0.0,,32.421308369863226,29.551335864172643,13.890222463056944,10.45162743087596,-21.679185068434293,21.679185068434293,31.695557574882656,11.056798752520706,20.63875882236195,10.016372506448365,10.622386315913587,-24.54915757412488,24.54915757412488,34.56553008057324,13.92677125821129,64.11686594474588,54.10049343829752,43.47810712238393,33.7410844175196,33.7410844175196,7.342200547358317,60.96294720477269,53.62074665741437,26.398883870161285,27.221862787253087,30.87111191182902,30.87111191182902,4.472228041667734,58.092974699082106,25.07910782250491,-1.3197760476563758,-28.541638834909463,8.477403883924495,20.288562310634404,,,16.146874200390187,16.291788159117516,23.92236323452724,36.30427435297531,-2.869972505690584,2.869972505690584,1,inspection,inspecting_screen,-59.149293056069816,-122.4458184741737,4.14723236203407
0.049995,136519.33725,P13,8,1,Stand,45,0,experimental,0.0,,32.421308369863226,29.551335864172643,15.93454049525485,12.52110944803465,-21.679185068434293,21.679185068434293,31.695557574882656,11.056798752520706,20.63875882236195,10.016372506448365,10.622386315913587,-24.54915757412488,24.54915757412488,34.56553008057324,13.92677125821129,64.11686594474588,54.10049343829752,43.47810712238393,33.7410844175196,33.7410844175196,7.342200547358317,60.96294720477269,53.62074665741437,26.398883870161285,27.221862787253087,30.87111191182902,30.87111191182902,4.472228041667734,58.092974699082106,25.07910782250491,-1.3197760476563758,-28.541638834909463,9.225214515062646,20.288562310634404,,,16.172259759299465,16.291788159117516,24.172220085104385,36.30427435297531,-2.869972505690584,2.869972505690584,1,inspection,inspecting_screen,-59.149293056069816,-122.4458184741737,4.14723236203407
0.058328,136519.34559,P13,8,1,Stand,45,0,experimental,0.0,,32.421308369863226,29.551335864172643,17.814685723682317,14.415873770376294,-21.679185068434293,21.679185068434293,31.695557574882656,11.056798752520706,20.63875882236195,10.016372506448365,10.622386315913587,-24.54915757412488,24.54915757412488,34.56553008057324,13.92677125821129,64.11686594474588,54.10049343829752,43.47810712238393,33.7410844175196,33.7410844175196,7.342200547358317,60.96294720477269,53.62074665741437,26.398883870161285,27.221862787253087,30.87111191182902,30.87111191182902,4.472228041667734,58.092974699082106,25.07910782250491,-1.3197760476563758,-28.541638834909463,9.810825356747388,20.288562310634404,,,16.185602826984706,16.291788159117516,24.60276139058832,36.30427435297531,-2.869972505690584,2.869972505690584,1,inspection,inspecting_screen,-59.149293056069816,-122.4458184741737,4.14723236203407
0.066661,136519.35392,P13,8,1,Stand,45,0,experimental,0.0,,32.421308369863226,29.551335864172643,19.72951735698686,16.372332040495593,-21.679185068434293,21.679185068434293,31.695557574882656,11.056798752520706,20.63875882236195,10.016372506448365,10.622386315913587,-24.54915757412488,24.54915757412488,34.56553008057324,13.92677125821129,64.11686594474588,54.10049343829752,43.47810712238393,33.7410844175196,33.7410844175196,7.342200547358317,60.96294720477269,53.62074665741437,26.398883870161285,27.221862787253087,30.87111191182902,30.87111191182902,4.472228041667734,58.092974699082106,25.07910782250491,-1.3197760476563758,-28.541638834909463,10.276976205701205,20.288562310634404,,,16.185263855614608,16.291788159117516,25.32846508264444,36.30427435297531,-2.869972505690584,2.869972505690584,1,inspection,inspecting_screen,-59.149293056069816,-122.4458184741737,4.14723236203407
0.074993,136519.36225,P13,8,1,Stand,45,0,experimental,0.0,,32.421308369863226,29.551335864172643,21.62505642273433,18.3094254350136,-21.679185068434293,21.679185068434293,31.695557574882656,11.056798752520706,20.63875882236195,10.016372506448365,10.622386315913587,-24.54915757412488,24.54915757412488,34.56553008057324,13.92677125821129,64.11686594474588,54.10049343829752,43.47810712238393,33.7410844175196,33.7410844175196,7.342200547358317,60.96294720477269,53.62074665741437,26.398883870161285,27.221862787253087,30.87111191182902,30.87111191182902,4.472228041667734,58.092974699082106,25.07910782250491,-1.3197760476563758,-28.541638834909463,11.04339672810474,20.288562310634404,,,16.1966143716551,16.291788159117516,26.001597730096847,36.30427435297531,-2.869972505690584,2.869972505690584,1,inspection,inspecting_screen,-59.149293056069816,-122.4458184741737,4.14723236203407
